,data,type
882,i feel empty inside iphone wallpaper mobile wallpaper to your wap folder img src http images,sadness
883,i feel like my fish might be moderately more intelligent than most fish as ive noticed they have a tendency to go to the corner of the tank closest to the container of fish food and just stare at it,joy
884,i really enjoyed using these products the cleanse and polish made my skin feel so lovely and soft,love
885,i feel like if people accepted that wed get along a lot better,love
886,i was asked to do the illustration work for the second volume of the city of hell chronicles i was really excited but i couldn t help feeling a little apprehensive at the same time because as i have described before i m fairly new to all this,fear
887,i didn t feel smug as i added the hardships of the last five years and rounded off the sum to a nice even number,joy
888,i can not see friends and for the most part i feel like leaving my bedroom could be dangerous,anger
889,ive had where i feel good enough to work the whole shift possibly the whole day,joy
890,i want to feel like i m reading something worthwhile,joy
891,i lost touch with her several years ago and feel a little bitter towards her and yet not quite willing to get rid of a reminder of the good times we had,anger
892,im begging fate not to mess with the next cycle to let it look as pretty as this one so i can at least go in feeling reassured,joy
893,i feel more energetic,joy
894,i brought it to god and as im dying or feeling low during the killer push ups or power kicks i just say lord help me i can do this and i am,sadness
895,i feel that time frame is going properly i m keen on you plenty probably we could repeat this once more and then the lady may possibly grin at you as well as claim the girl loves as well,joy
896,ive been feeling weird because i am weird,fear
897,i have come from the summer time and feeling like coach hated me,anger
898,i feel deeply remorseful and regretful,sadness
899,i was feeling apprehensive about my journey because i would be using public transportation the whole way,fear
900,i love being around people and i naturally feed off of their energy but i feel all alone in the world,sadness
901,i feel like you didnt really care that alexis did that to me and you were irritated that i was even telling you,anger
902,i was feeling anything but adventurous and stuck with comfort zone and ordered mcdonalds,joy
903,i feel pathetic even reading this and thoughts like wow i am such a loser shuffle across my mind,sadness
904,i cant describe how im feeling without giving it away but in a way im feeling a bit heartbroken but definitely touched,sadness
905,i know this makes me a bitch and a half but i cannot help but feel a little triumphant when i see an old nemesis come into my workplace pregnant kid in tow fat husband waiting in the pickup truck rushed and clearly unhappy,joy
906,i wanted to root for someone to feel wronged and condemned on their behalf,anger
907,i feel disturbed because of the world i saw through the camera s eyes,sadness
908,i cant even believe that i have reached a half century young and feel so terrific,joy
909,i always feel kinda sad for them when the authority figures eventually show up on the scene and squeeze all of the risky fun out of their play time,sadness
910,i have been taking it slowly going at my own pace and not feeling pressured to finish or catch up and im not looking for a miracle cure,fear
911,i am walking around feeling quite tortured because i spent so many hours on it and it is still not finished but i have learned a few things,anger
912,i spent so much of this year waiting for these summer moments and it feels like i ve resigned summer to a certain extent just waiting to get on with life and start a new chapter in st paul,sadness
913,i dont think my depression that i have been feeling is going to go away over night but i do think that if i start trusting god more and praying more he will help me to see that i am not alone,joy
914,i feel like im gonna be so greedy with him cuz i just love him so much,anger
915,i feel nothing just empty until the nothing becomes something just a deep ache longing to be filled,sadness
916,i barely seem to remember where i live in the middle of coming to terms with the likelihood that i would just be single for the rest of my life and feeling pretty content about that,joy
917,i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,anger
918,i think my hair is feeling confused,fear
919,i know what happened might still feel real feel dangerous but i don t plan on going anywhere any time soon,anger
920,i was feeling a bit disheartened until one of our black belt instructors at the dojo richard and i own asked why let anyone else set your destiny,sadness
921,i feel that entertainers as talented as williams become part of our lives,joy
922,i feel ugly he can smile at me with this look in his eye and i know that not only does he love me but he is still in love with me,sadness
923,im feeling kind of irritated that the school year is over halfway over and all hes been getting is speech,anger
924,i am sure that fans of every other team feel one of their guys got slighted and in the long run it really doesnt make much of a difference its just a shame that someone as talented as evgeni malkin was left off,joy
925,i feel decently intelligent,joy
926,i don t feel so self assured i need to compete or to justify why i m so clearly not doing as well as someone else,joy
927,im feeling a little mellow right now i have to admit that im actually feeling pretty low key and happy,joy
928,i want to feel affectionate,love
929,i feel at leaving work is hot and complicated and tempered with the disquiet of a future that feels out of my hands,love
930,i feel a bit smug too as well as annoyed,joy
931,i feel this is the time to mention a fond farewell to one of our longest running sponsors a href http www,love
932,i mention how you exfoliate at the same time save loads of money and feel divine,joy
933,i had applied for a job and they had assured me that the exams would take place a few months later a week later i went to obtain some more information and they told me that the exams had already taken place,anger
934,i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,joy
935,i feel unsure or neutral about changing but really does not want to change,fear
936,i needed supportive caring understanding loving he made me feel i broke up with him because despite it all i could tell he was stressed and whatever place i held in his heart before i no longer kept,sadness
937,i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes,fear
938,i got a good feeling from the school and i have a lovely class,love
939,im closer to the end of my road than to the beginning and i feel very tender towards myself,love
940,i was feeling productive,joy
941,i didnt feel overly creative i really needed this weekend off just relaxing resting my leg and not stressing myself out,joy
942,i feel quite fearful about her future other times i wonder how this happened to her or even if i did something to cause abbigail to have apraxia,fear
943,i changed i feel that im taking advantage of her this wouldnt have bothered me one bit before,anger
944,i feel im ugly i feel that i dont deserve to exist in this world,sadness
945,i feel peaceful it s ok,joy
946,i feel less aggravated and upset today i think i realized that its just not worth it it proved to be wasted time and effort pointless and stupid i am fine with not knowing him im uneffected for the time being at least,anger
947,i type these words i feel like i shouldn t be surprised,surprise
948,i feel like a messy after a while because it often is a struggle between keeping emails images documents etc,sadness
949,i guess a similar viewpoint might be when we feel smug or better than someone else,joy
950,i am feeling very unsure of my future,fear
951,im feeling uncharacteristically optimistic today perhaps even unrealistically optimistic,joy
952,realizing that a friend had been talked into signing a certain contract,anger
953,i feel so clever to have done that,joy
954,i tried it naked gardening and it feels lovely to have the sun on your back and to feel the plants while you are working in the borders,love
955,i feel grouchy tonight,anger
956,i feel people around me do not understand it they have no acceptance that i might need to grieve and suffer not only from the loss of my mother but the grief of never having a loving relationship expressed in ways i would want,love
957,i feel weird about my self this doesn t feel like me,fear
958,i feel is probably the most acceptable strategy to finding out historical past it does not imply by any means that it is the only method to study historical past we must always have this subject clear,joy
959,i very close with the founder its amazing to feel that a purchase is supporting artisans trying to find their way out of poverty,joy
960,i do hear and old jam a wave of nostalgia floods over me i become giddy and feel like a jubilant teenager again,joy
961,i can feel the tortured emo poetry coming on already,anger
962,i look to balance commercial titles with those that i feel could support a more artistic interpretation,joy
963,im feeling a little smug too im usually running late for whatever im planning to d,joy
964,i feel so appreciative to have their support,joy
965,i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy
966,i feel pleased with myself when i see you proud of me,joy
967,i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy
968,i am feeling lousy recently,sadness
969,i have to do this and make some vj feel jealous,anger
970,i were any sort of poet i am convinced i would be sucked in to the romantic literary style and simply write for days about the turning of the leaves the feeling of the cool wind with the warm sun,joy
971,i am feeling a little groggy this morning not to mention a headache,sadness
972,i do feel that at least it meant they are compassionate and care about the world ba,love
973,im feeling appreciative of the physical world around me and if there are other riders in sight i often admire their physical stamina and riding style,joy
974,i think itd be easier if i had parents that argued with me about it then i could feel rebellious or something p but right now i just feel like a burden,anger
975,i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,joy
976,i am bothered is that he might changed his feelings once he get back in us and leave me heartbroken,sadness
977,day i received my te score and acceptance into my chosen course,joy
978,i feel christmas more special than ever,joy
979,im feeling very disturbed by tons of things,sadness
980,i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,joy
981,i have a feeling of being scared but also knowing that i am in for some really big changes in my mind body and spirit,fear
982,i feel determined to give this process a label,joy
983,i feel honored to have that kind of support,joy
984,i feel like each year i teach i get more passionate about my job find more love for my kids and want to try even harder,love
985,im grabbing a minute to post i feel greedy wrong,anger
986,i feel drastically inadequate for the needs i feel swirling around me,sadness
987,i always feel pressured when i play against someone,fear
988,i feel like i love everyone or at least i am compassionate toward others,love
989,i am feeling emotional about something or other positive or otherwise,sadness
990,i also feel terrified but i ve found that since i ve started saying i m terrified out loud i feel less terrified,fear
991,i am feeling very virtuous today,joy
992,i can say without a doubt that i certainly tend to eat more when i am feeling unhappy or stressed,sadness
993,i taught him what it can look like and how it could make him feel scared confused excited nervous,fear
994,i dont come from a perfect past i come from a past that feels very messy and loud and chaotic and full of words words words that never really meant much or were lies,sadness
995,i feel passionate about these issues i want to see others become as passionate and the blog hop becomes fun for me in spite of how much work goes along with it,love
996,i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever,sadness
997,im feeling rather listless today probably because of whats going on around me,sadness
998,i never feel that popular,joy
999,i would feel so pissed off,anger
1000,i do not want folks to think i feel superior due to my aspieness or because of my near genius iq,joy
1001,i really feel like everything is so worthless,sadness
1002,i feel overwhelmed stressed and pressured inside something magical happens when i take off my shoes and go for a walk in the park or on the beach,fear
1003,i wasnt feeling when i got on board but its really not pleasant,joy
1004,ive been feeling an awful lot lately,sadness
1005,i gotta feeling that tonight s gonna be a good night as i follow you home break in and hug you through the shower curtains as you shower,joy
1006,i knew i wanted to somehow include the idea of natural healing and holistic living but the site is also about feeling radiant vibrant and enthusiastic about life at any age,joy
1007,as in sadness a,anger
1008,i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,anger
1009,i feel that his apology was sincere i just couldnt help feeling a bit more unhappy about what happened,joy
1010,i know i am not alone in this feeling and a supportive community is the antidote,love
1011,i waited in line longer than usual i didnt feel impatient that my business was delayed i listened to the master about why this was occurring and how i could be of service during that moment,anger
1012,i purposely put that statement in the negative to show that im now feeling gun shy,fear
1013,ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy
1014,i feel like i spend most of my time over thinking and over analyzing pretty much everything,joy
1015,i cannot help feeling a little sceptical,fear
1016,i hate feeling stupid and incompetent,sadness
1017,i seriously hate one subject to death but now i feel reluctant to drop it,fear
1018,i was meant to feel sympathy for her but i have little sympathy for those determined to be victims and wallow in their own pain while blaming and punishing others for their state of being,joy
1019,i feel like a selfish bitch for feeling this way when countless impoverished people are suffering surely a hundred folds more than i am,anger
1020,i know what i believe and how i feel but some part of me is still hesitant because the old me would have said that anyone who believed there was a god was crazy,fear
1021,im thankful for it and the parents because they are understanding and make me feel less wimpy,fear
1022,i feel so honoured to have hosted this series to have such talented a,joy
1023,whenever i put myself in others shoes and try to make the person happy,anger
1024,i feel just a tinge of melancholy around labor day weekend,sadness
1025,i feel like going out with friends and having some wonderfully innocent youthful fun with,joy
1026,i feel so badly and i know they are suffering so for me to complain about the cold is nonsense i d gladly give them anything i could to help fix the problems there,sadness
1027,i yearn to feel useful beyond our little home,joy
1028,i am starting to feel a bit disheartened with my progress on my physical tbr there are still boxes of books next to my bed and they are not going away as fast as i want them to,sadness
1029,i find myself feeling shocked hearing that word spoken out loud in my own lounge room,surprise
1030,i know that ann is still feeling very homesick,sadness
1031,i did feel complacent that now in britain with the immediate rain life would be that little bit more familiar but nonetheless i have the memories the photos and now i have a goal to work for my gap year and i would be working on that as early as saturday when i would be earning,joy
1032,i feel uncertain and uneasy,fear
1033,i just feel so depressed and i don t know what would make me happy,sadness
1034,i know if i go to crossroads or thrift stores i can find something roughly like what im wishing for if i search hard enough and theres no feeling quite so delicious as something awesome for a good bargain,joy
1035,ive seen a lot of seizures but never this many at once and of course i always feel totally helpless,fear
1036,i feel very needy,sadness
1037,i spent my vacation from school feeling confused and heartbroken,fear
1038,ill feel even more pressured,fear
1039,i dont understand why i feel so empty and hollow deep within me,sadness
1040,i remember sitting out on the porch feeling drained and alone even as sunlight bathed my hair in warm radiance and a light breeze cooled my cheeks,sadness
1041,i feel they look a little awkward just below,sadness
1042,i feel like if i continue i ll start the babble and bore the heck out of anyone reading so i ll just try to finish it with a few thankful thoughts,joy
1043,i felt so good in fact i went to zumba half an hour later for an hour and then left there feeling even more energetic if that was possible,joy
1044,i was still feeling weird about the day before,fear
1045,i feel as though i have merely accepted what has been done and that no matter what time has gone by it will always be with me,joy
1046,i then wonder if the girl does want to marry me and contemplate that feeling slightly disheartened,sadness
1047,my last genetices midterm a decent grade,joy
1048,ive got no brothers in the family i feel incredibly blessed to be gifted with sisters who drive me up the wall and who also happens to be the ones who make me feel most comfortable being myself,joy
1049,i will state right now that i feel strongly that someone should be punished for the hurt that was inflicted on him,sadness
1050,i understand but i feel like i hated my friends,anger
1051,i am asked to lead a prayer meeting i feel a solemn responsibility to prepare myself spiritually and to plan carefully,joy
1052,i feel its a reminder that im taking care of something so precious and need to treat myself better,joy
1053,i feel your suffering reflects just a fraction of my own suffering,sadness
1054,i have been home for days now and am in a space that i feel comfortable and comforted in,joy
1055,i truly am i feel so disillusioned with the world after years of believing in helping others and getting immense joy from doing so,sadness
1056,i like the phrase having submissive feelings then being submissive,sadness
1057,i tend to become a little animated when i talk about something in which i feel passionate,love
1058,i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me,fear
1059,i have a confession to make and i feel so rotten about this,sadness
1060,i was feeling frustrated and tired today,anger
1061,i created my how to paint an owl e course with the intention of sharing the simple shape templates that i use to start my own owls so that others could easily create their own and not feel afraid to start on a blank canvas,fear
1062,im feeling nostalgic about listening to this kind of music again,love
1063,i actually feel a bit reluctant to really tell you too much about it,fear
1064,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness
1065,i feel that there is no way to determine if a machine possesses consciousness and thus whether it is intelligent,joy
1066,i feel bashful under his teasing scrutiny,fear
1067,i take the offense that is most frightening to me when i am feeling the most vulnerable in close relationships with others and i draw that offense and all my frightful vulnerability into the love of god into the mercy seat that fills me full,fear
1068,i feel completely blessed to have such wonderful family and friends,joy
1069,i hate my feelings which are all about loving this city day by day little by little,love
1070,i think i could manage one team in jacksonville without feeling too dirty,sadness
1071,im not feeling real strong lately,joy
1072,i just have to feel threatened to be reminded that i will be saved,fear
1073,i will think of something else feel all passionate about that and then it too would stop,love
1074,i still feel incredibly listless being in albuquerque but at least the weather is improving more or less,sadness
1075,i feel like this insecurity is a good thing when i first started writing i pictured it all,joy
1076,i feel that he was completely humiliated and his grandfather s laughing in the dream roused him since the laughing echoed the taunts of the elite,sadness
1077,im feeling stressed overworked and running on fumes,anger
1078,im also feeling a bit homesick its hard to think that ive spent this long away from home and that ive got such a short time until i get back,sadness
1079,i didnt tell you because i didnt want you to feel afraid,fear
1080,i feel myself about how successful my attempts are im starting to connect with the fact that people want to hear music not perfection whatever that is,joy
1081,i feel and bruise my how was anybody to be punished,sadness
1082,i am feeling more productive,joy
1083,i love that i feel valuable i love making the choice i love that it s easy to make the choice to feel good,joy
1084,i hate the feeling of being disliked and it seems as though its very common for me,sadness
1085,i don t know everyone s political views nor do i ask unless i feel it s important for further discussions or so that i don t offend them,joy
1086,i believe in you moment we all feel til then it s one more skeptical song,fear
1087,i get i will drill into the subjects soul with an icy stare until it feels as disturbed as i do and leaves,sadness
1088,i feel fantastic at a weight higher than than that is where i will stay,joy
1089,i feel so totally invigorated that i completely forget what it s like to have a cold,joy
1090,i have ticket stubs going all the way back to and every once in a while when i m feeling kinda sentimental i open up the box and go through my ticket stubs so that they can remind me of all the good times i ve had at stadiums around the country,sadness
1091,i could feel the muscles in my arches ankles and calves working to support my stride and i felt so much more graceful,joy
1092,id gotten the feeling that her friend hated me deeply for whatever id done to her,anger
1093,im very very very very sorry i havent been feeling very well,joy
1094,i feel this isn t part of the agreement this isn t the casual friendship we built up to make being around each other bearable,joy
1095,i feel relaxed at airports are the times the do occasionally occur when i have no luggage especially exceptional luggage,joy
1096,i feel his hand on me to stay faithful,love
1097,i feel slightly unimportant,sadness
1098,i know the feeling of plans disturbed schedules disrupted,sadness
1099,i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear
1100,i feel kind of shamed about myself,sadness
1101,i confused my feelings with the truth because i liked the view when there was me and you i cant believe that i could be so blind its like you were floating when i was falling and i didnt mind because i like the view i thought you felt it too when there was me and you lyrics from a href http www,love
1102,i feel like i was convinced to spend the night alone it was not my choice i was wrongfully lead astray,joy
1103,i can feel myself slowly uncoiling from the fearful place inside and enjoying the time as i hope he can enjoy it and starting to actually swim around a bit rather than just walk in the water,fear
1104,i was half feeling very irritated and just wanted to get out of a amp f lol,anger
1105,i need to feel assured i need to feel secure,joy
1106,i feel terribly unkind to say it span style font size,anger
1107,i feel rotten and my frustration manifests as annoyance and anger but yet they still keep on helping,sadness
1108,i will go to the supermarket and feel up tomatoes and hope life imitates art and some cute guy will ask me out,joy
1109,i focus on the injustice the anger rises and i feel frustrated because i know i cannot change things on my own,anger
1110,i had tuition the next day because i wasnt feeling well n i felt so damned sleepy,joy
1111,i give up from my goals if i feel them boring,sadness
1112,i was feeling irritated and slightly upset after this conversation,anger
1113,i had to change after several months due to the fact that i didnt feel my daughter was being helped or my daughter convinced me how rotten the therapists were,joy
1114,im out of the game yet but with two weeks left to go and having only been up for a week ive got to say that im feeling discouraged,sadness
1115,i guess while i can understand their concern i can t help but feel a little rejected,sadness
1116,i am appalled that i feel violent toward another human being,anger
1117,i feel that your prince charming will come through sooner than you expected,joy
1118,i would lie in bed and feel it somehow sparkle and i knew that even if most meningiomas are benign mine was growing and needed to come out sooner rather than later,joy
1119,i love to sew cook and also dabble in mixed media art when i feel like getting messy,sadness
1120,i still had the feeling something weird had just gone down,surprise
1121,i think im entitled to feeling a little triumphant,joy
1122,i miss feeling glad,joy
1123,i still feel like i get walked all over but well i m trying,joy
1124,i ask myself why does the hip hop generation of african americans feel the word nigga is ok,joy
1125,i began to feel a bit irritable and antsy,anger
1126,i cant help but feel someones going to end up pissed at me,anger
1127,i feel lousy about how much i have to study,sadness
1128,i continued on my way despite feeling a bit strange with my flexy new shoes and sweat soaked back,fear
1129,i are another reason why foreign tourists feel reluctant to drive in this island,fear
1130,i really hate this feeling when you really give so much damn about someone but really all that person show you is just simply like they cant be bothered with you,anger
1131,i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,joy
1132,i started feeling uncomfortable around my straight male friends particularly after one of them drunkenly came on to me grabbing at my waist while he attempted to murmur sweet nothings in my ear at a party that same week,fear
1133,when i nearly caused a traffic accident with my car,fear
1134,i feel traumatised and pained,sadness
1135,i feel assured that the future of online entertainment rests in good hands,joy
1136,i was feeling amazing so i was disappointed when my lab work in december came back the same way it did the previous year overall it was good but i did not have enough protein in my diet,surprise
1137,i am allowing myself to feel these things and not be bothered,anger
1138,my mother did not come home till late at night ages ago anyway if i dont know where my parents are and when theyll be back i start thinking that perhaps they have had an accident and are perhaps dead,fear
1139,i feel like a lame wife,sadness
1140,i am not holding in my anger but i am holding it back so that i can still choose with a clearer mind and can feel it without executing someone for something petty,anger
1141,i feel like i m always beaten up by some sort of evil people,sadness
1142,i want to be doing and its wonderful to feel passionate about my career,joy
1143,i was washing the trees hoping it would do some good and concurrently in the general trajectory of my life feeling more and more suspicious of much of the trappings of christianity and even sometimes maybe just kinda or a lot suspicious of its heart and in my head is this song,fear
1144,i feel like hiding and i also feel triumphant over apathy,joy
1145,i seem to feel some fondness for this curious old man,surprise
1146,i got to feel that lovely weight again,love
1147,i dont win a lot of things but i still feel ridiculously lucky,joy
1148,i feel all innocent now,joy
1149,i know how u feel i hated how people say to just stop thinking about it but try to get help and distract yourself also try to get ur anxiety out in a healthy or helpful way,sadness
1150,i tell her how i feel i ll be punished,sadness
1151,i am actually considering buying them thats why i feel so unsure hehe,fear
1152,i feel super weak and i havent made it through a whole class in two weeks,joy
1153,id feel nostalgic about gillard hours ago,love
1154,i feel angry disgusted,anger
1155,i was feeling aching earlier this morning but not much now,sadness
1156,i am feeling pleasant,joy
1157,i feel really rotten remind me to be thankful on the good days,sadness
1158,i can feel the discontent sometimes for my connection is so slow,sadness
1159,i think i would have been feeling less grumpy if i hadnt been up and down throughout the night or my lungs deciding that even though i wasnt that unwell it felt as though something was sitting on my chest and flattened me,anger
1160,i am so excited to meet her honored i get to carry her feel so special each and every time she kicks,joy
1161,i don t really know the oldest one very well and his mothering mother seems to feel that he is not sweet,joy
1162,i also feel more outgoing which is strange because ive always considered myself to be more introverted but here ive been making more friends and putting myself out there more,joy
1163,i need to see in the wild before i feel completely satisfied but for now i can say that at least we fulfilled the whalentee,joy
1164,i feel a bit hesitant about the whole thing given my past two experiences and the fact that i m going to start a new novel while i work on my current wip because i feel like it would be cheating to count the words on my current wip even though i m only about words into it,fear
1165,i do this i feel lethargic uninspired and the next morning have a go at myself,sadness
1166,i guess ill just feel awkward with him for a while till i get over shit,sadness
1167,i sure feel sorry for what happened to your friend diego he was your friend right,sadness
1168,i don t know what it feels like to be in love so i m starting to get scared that i don t actually love him,fear
1169,i cant help but feel so helpless,sadness
1170,i often feel discouraged and frustrated and i am not where i want to be in life right now,sadness
1171,i sat there in our living room feeling the sun come through the window cuddling my gorgeous puppy and cried,joy
1172,i feel lucky that theyve chosen to share their lives with me,joy
1173,i feel suddenly startled catch my breath and think it could be any day,fear
1174,i don t feel like this month was a failure but rather a eye opener to help me to be more productive organized and free,joy
1175,im feeling a tad rebellious right now,anger
1176,i feel like a proud new mom with all this picture taking of heidi,joy
1177,i prep myself for another sleepless night i can t help but feel ashamed of myself for feeling this way,sadness
1178,i arlovski on ufc win i feel really horrible leave a comment,sadness
1179,i cannot help but feel insulted that my master did not see the need to greet me upon my waking,anger
1180,i know karen wouldnt see it that way if i addressed these things with her it would open a whole miserable can of worms she wouldnt see that shes doing anything wrong and wouldnt be open to hearing how i feel it would turn into an ugly confrontation and i hate confrontation,sadness
1181,i was so scared it wasnt even funny it just made me feel more pathetic and stupid,sadness
1182,i am designing games it really makes me feel excited,joy
1183,i feel its been very successful in doing that,joy
1184,i read her blog is that i feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people,anger
1185,i feel none of that and because i am a hopeless romantic shrouded in reality i know for a fact that this person is not me,sadness
1186,i want as much of you as you are willing to give me and i plan on making you feel very generous,joy
1187,i had a feeling you werent very fond of her,love
1188,im still paying attention but i feel distracted,anger
1189,i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,fear
1190,i feel the need to turn to my beloved nations,joy
1191,i feel thankful to be strong enough and courageous enough to have taken the steps to change my life,joy
1192,i feel so eager for the rest of the photos to come in,joy
1193,i lay in bed on tuesday night feeling terrible,sadness
1194,i am already feeling anxious then how is going off my anti anxiety medicine going to help me,fear
1195,i feel that your advice is only useful for the people who already believe in it,joy
1196,im feeling generous this week,joy
1197,i suggest you give it a listen i feel like i am blessed,love
1198,ive been reading her blog for years now and i feel like shes my most faithful reader here,joy
1199,i always seem to feel im running on empty,sadness
1200,i wasnt feeling at all irritated,anger
1201,i feel jealous of him touching someone else,anger
1202,i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive,anger
1203,i didnt feel as if i was supporting the whole conference but as i pulled gunk out of the drain in one of these sinks i wondered whether the folks who once again came through to make the conference work might be feeling some frustration if they didnt do the work nothing would be done,joy
1204,i feel extremely intimidated,fear
1205,im learning mandarin chinese now in preparation for a trip to tianjin this september and already only four lessons in i feel like i have a handle on the basics and im thrilled to have some insight into a language that had always been a total mystery to me,joy
1206,ive been angry and under that anger hurt are not gone but they feel resolved,joy
1207,i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,anger
1208,i imagined its what zombies must feel like because each time i would wake up pissed,anger
1209,i feel so terrified to tell her,fear
1210,i just found out that my gut feeling unpleasant though it was was correct,sadness
1211,i do feel that some muslims are generalizing their retaliation and possibly hurting innocent people,joy
1212,i am feeling particularly joyful today and though todays blog entry doesnt necessarily align with my particular emotional state it is a subject that has rightfully found a place of conversation in the public eye,joy
1213,i practically got the feeling of a hostile environment,anger
1214,i just hate feeling left out and i wanna be a cool kid even though i hate the cool kids,joy
1215,i feel sorry for john boehner his copious tears running over and blurring his spray tanned face until its the same color as his nicotine stained fingers all the while eric cantor is waiting to push him out of the speakership,sadness
1216,i feel bad the photo does not do it justice,sadness
1217,i feel neglectful that i have to skip over all the entries from this community and that i dont have the time to be as religious as i had been,sadness
1218,i feel like i m so distracted by silly things like twitter that i can spend an entire evening with the kids and not actually hear a thing that they re saying,anger
1219,i want a relationship where partners empower each other not feel burdened by their histories and eccentricities,sadness
1220,i got home from work i was feeling adventurous and was also feeling him very active in there and so i decided to start poking on my belly to see what would happen,joy
1221,i have a feeling he will just follow sweet luke around everywhere he goes when he does,love
1222,i feel this feeling when i am to fill in a questionnaire or a form,anger
1223,i was to her in fact so i m taking that as she feels regretful for what she has done,sadness
1224,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,surprise
1225,i am feeling shamed like i should not be enjoying this and i certainly should not have sex kissing is so far enough,sadness
1226,i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
1227,i really feel irritated with all these,anger
1228,i feel bitchy but not defeated yet,anger
1229,i feel offended if you question my results as unfair saying that i am lazy and all so why,anger
1230,i like about this song is how it feels bouncy and matches tiggers bouncy personality,joy
1231,i am not hausa but i feel offended especially as the crazy motorcyclist who is now getting up from the ground like nothing happened bears no resemblance to anyone from the north,anger
1232,i always got the feeling that even though he admired moriartys intellect he was at the same time very scared of him and quite horrified by his evilness,love
1233,i have paused on purpose that i must step back and recognize why im walking around feeling discontent and then make the needed adjustments,sadness
1234,i fully believe and feel passionate about living bravely and outside my comfort zone i often revert to my comfortable ways,love
1235,i feel popular today,joy
1236,i have trusted mike with some deeply personal information and feelings and have delighted in seeing this trust rewarded in pragmatic advice and practical outcomes,joy
1237,i was already feeling loved for having been asked to be in the bridal party the thank you note made me feel even more so,love
1238,i feel very contented and happy upon seeing him,joy
1239,i started back at work i have to admit that ive been feeling a little overwhelmed,surprise
1240,i have every right to feel outraged that their legacy may be in danger,anger
1241,i feel less assured that my basic rights are being protected by our political system especially as a woman and every time im disappointed i feel more personal responsibility to produce change,joy
1242,i feel like a monster because as we make our way through the rubble and stunned bodies all im thinking is that we need to find a way to keep going,surprise
1243,i feel so jakun that amused me for whole minutes,joy
1244,i forgive stanley hes not so quick to forgive as well and accuses me of making a foolish mistake and making him feel unwelcome in our apt,sadness
1245,i feel enraged by the amount of people participating for the chance to break things or those who treat it as a tourist event,anger
1246,i feel some people shouldn t answer if they are not considerate and serious,joy
1247,i do not feel i am particularly talented at it,joy
1248,i feel enormously honoured to be included in this list,joy
1249,im feeling lame about my progress is to look at my pics that ive taken,sadness
1250,i feel myself falling into the pit of buying it from her i think he s for real i m just skeptical of the women,fear
1251,i dont have much art online that i feel properly represents my skillz an unfortunate scenario i know,sadness
1252,i smile and feels really happy in the same time i feel nervouse and my heart beats faster than usain bolt,joy
1253,i feel like i missed out on so much during juliannas first two years while i was working full time but we are making up for lost time now,sadness
1254,i feel resentful ungrateful negative fearful i feel i navigate through my days as a dead weight that just floats around doing things but i am not engaged,anger
1255,i do really feel treasured by you too,love
1256,i have never really had luck with them so im feeling a bit jaded,sadness
1257,i feel is anger with myself for trusting him in the first place and then letting him treat me like that,joy
1258,im feeling adventurous and fiesty i stop comparing myself to everyone,joy
1259,when i was still a child,anger
1260,im not feeling anything suspicious really,fear
1261,i say i feel alone br style color line height,sadness
1262,i feel sorry for a href http bluestarlight,sadness
1263,i could leave spitak and come back after two years to the same town the same neighbors the same school children shouting my name and feel welcomed,joy
1264,i wrote my last post i was feeling extremely regretful about the end of our relationship,sadness
1265,i feel less frightened and more grounded and centered,fear
1266,i feel like i am so pathetic selfish and unbelievably lazy i want to find a new job as the old one is just annoying me so much i can not describe that,sadness
1267,i knew it was the holy spirit at work plus it feels divine in the gooooood way like a massage reassuring me,joy
1268,i feel like having read ulysses is a club of really smart and fun people and i want to join that club,joy
